Date,Index Numbers  All groups CPI Australia,Index Number  All groups CPI Sydney,Index Numbers  All groups CPI Melbourne,Index Numbers All groups CPI Brisbane,Index Numbers  All groups CPI  Canberra,Percentage Change from Corresponding Month of Previous Year All groups CPI
Apr-24,96.4,96.69,96.51,95.49,96.95,
May-24,96.17,96.09,96.51,95.42,96.67,
Jun-24,96.52,96.73,96.81,95.75,96.85,
Jul-24,96.77,97.25,97.19,94.69,97.54,
Aug-24,96.49,97.04,97.12,94.79,97.01,
Sep-24,96.54,96.75,97.4,95.06,97.06,
Oct-24,96.32,96.46,96.83,95.23,96.74,
Nov-24,96.68,96.73,97.2,95.11,97.05,
Dec-24,97.31,97.57,97.95,96.02,97.78,
Jan-25,97.58,97.76,98.25,96.94,97.94,
Feb-25,97.67,97.69,98.1,97.44,97.97,
Mar-25,97.96,98.09,98.03,97.53,98.16,
Apr-25,98.68,98.72,98.73,98.17,98.77,2.4
May-25,98.2,98.16,98.23,97.98,98.23,2.1
Jun-25,98.34,98.34,98.48,97.96,98.25,1.9
Jul-25,99.63,100.05,99.45,99.21,100.01,3
Aug-25,99.55,99.69,99.54,99.23,99.56,3.2
Sep-25,100,100,100,100,100,3.6
Oct-25,99.99,99.89,100.01,100.21,99.99,3.8
Nov-25,100.01,100.06,100.07,99.96,100.26,3.4
Dec-25,100.97,101.19,100.98,100.98,100.97,3.8
